,Article_ID,Date,Source,Article
0,69MC-WY31-JCMN-Y406-00000-00,13 November 2023,Al Jazeera English,"November 13th, 2023 ( Al Jazeera English  — Delivered by  Newstex ). The steady churn of dialysis machines. The rhythmic drip-drip of blood from IVs. The low hum of life-support equipment keeping the babies in incubators alive, tubes running in and out of their little bodies. The routine functioning of Al-Aqsa Martyrs Hospital in the central Gaza Strip lies in sharp contrast to the chaos of weeks of Israeli bombardment, which in recent days has   in the besieged enclave. But power and water crises due to Israel's campaign after Hamas's October 7 attack - which have already   - are drastically affecting the central Gaza hospital as well. Incubator babies and dialysis patients hooked up to machines dependent on fuel are at particular risk - especially as Al-Aqsa is the sole facility for kidney patients in the central Gaza Strip governorate, Khalil al-Dakran, the hospital's spokesperson, told Al Jazeera's fact-checking agency Sanad. 'If electricity and water outages persist and fuel depletes, patients will be transferred to mass graves if the aggression continues,' al-Dakran warned. ""And the world [just] watches,"" he continued bitterly. Dialing down dialysis care. The hospital has seen a surge in the number of patients since the start of the latest conflict, with thousands of wounded streaming in and taxing the hospital's capacity. In addition, as thousands of displaced people from northern regions of Gaza poured southwards, the number of patients increased, especially those with chronic diseases needing treatment, like dialysis for kidney ailments. The hospital has had to limit dialysis treatment times from four hours to two-and-a-half hours, while also having to decrease the frequency of patients' dialysis sessions per week, al-Dakran said. Patients are terrified, not only of the bombs raining down, but also about whether they will receive the care they need. 'I undergo dialysis three times a week, waiting for hours on crowded roads, terrified,"" displaced woman Maryam al-Jayar told Sanad. ""We wait so long, from morning till night, for dialysis. All while the bombing continues. Now I get shorter and less frequent dialysis and on top of that with water and electricity shortages the dialysis process itself is not working right and can cause blood clots,' Nesma Sharir, another kidney patient said. Dialysis patients at Al-Aqsa [Screengrab/Sanad]. Infants found under the rubble. Meanwhile, the neonatal intensive care department at Al-Aqsa is also buckling under the pressure of the war. There, nurse Warda al-Awawda hovers above the incubators, checking on the babies lying inside them. Al-Awawda and her colleagues say there have been a lot more newborns admitted to the intensive care unit, not only premature infants but also newborns injured by the bombings. Sometimes the journey the babies have to take to get to the hospital contributes to their deteriorated health, al-Awada told Sanad, pointing out that she has had mothers with their babies – or babies on their own – arrive on all sorts of transport, including donkey carts in some cases. Some babies are carried into the hospital in the caring but jostling arms of someone who has just rescued them from under the rubble and wants them to get the care they need as fast as possible and there are no stretchers available. Nurse Warda al-Awawda cares for infants in incubators [Screengrab/Sanad]. One infant, Hassan Mishmish, arrived at the hospital after being rescued from under the rubble. His parents were found dead. 'He was in the arms of his dead mother, covered in dust,' al-Awawda said. 'All the nursing staff take turns caring for him after he lost his parents. ""His brother is also injured, he's in the children's ward, and his grandmother is also injured. There is nobody from his family left to take care of him,' she added, saying there are dozens of other similar cases of babies found under the rubble."". It is getting harder for the nurses there to take care of the babies, although it is not for lack of trying. The hospital is struggling under serious shortages of essential supplies, including things as basic as the soap needed for hand sanitisation. Link to the original story."
1,6BPW-75B1-F03R-N001-00000-00,04 April 2024,Al Jazeera English,"April 4th, 2024 ( Al Jazeera English  - Delivered by  Newstex ). An ""unlawful"" Israeli air attack that killed 106 people in a residential building in central Gaza on October 31, 2023, was an 'apparent war crime', Human Rights Watch (HRW) has said. The inquiry  was based on testimonies from 16 people the group spoke to between January and March, satellite images, dozens of photographs and videos from the site, as well as those shared on social media, the international rights group said on Thursday as it released the findings of its investigation. It called on governments to   to Israel and support the International Criminal Court's (ICC's)   in Palestine, saying the attack was among the ""deadliest single incidents for civilians"" since Israel's   started in October. Witnesses said 350 or more people were staying in the Engineers' Building, south of the Nuseirat refugee camp, when four aerial munitions struck it that afternoon within about 10 seconds, without warning. At least 150 people were seeking shelter after fleeing their homes elsewhere in Gaza. The building was demolished. The New York-based group said it found no evidence of a military target in the vicinity of the building when the attack took place, which according to HRW made the air attack ""unlawfully indiscriminate"". The victims included ""children playing football, residents charging phones in the ground-floor grocery store, and displaced families seeking safety', HRW's associate crisis and conflict director Gerry Simpson said. 'This strike inflicted massive civilian casualties without an apparent military target - one of scores of attacks causing overwhelming carnage, and highlighting the urgency of the ICC probe.'. HRW said the Israeli authorities have not publicly provided any information about the attack, ""including the intended target and any precautions to minimise harm to civilians"". More than   have been killed since Israel launched its military operation in the enclave following the Hamas-led attack on southern Israel on October 7. The death toll in Israel stands at 1,139, with dozens still held captive in Gaza. 'The staggering number of Palestinian deaths, mostly women and children, shows deadly disregard for civilian life and points to many more possible war crimes that need to be investigated,' Simpson said. 'Other governments should press the Israeli government to end unlawful attacks, and immediately halt arms transfers to Israel to save civilian lives and avoid complicity in war crimes.'. The United States   the transfer of billions of dollars worth of   to its ally, reasserting its commitment to Israel's security, even as it publicly expresses concerns about the long-threatened  of Gaza's Rafah and the  in the enclave. Britain's Prime Minister Rishi Sunak is facing   to halt arms exports to Israel after seven aid workers from the charity World Central Kitchen were killed in an Israeli air attack in Gaza as  . HRW said governments that continue to provide arms to Israel ""risk complicity in war crimes"". ""They should also use their leverage, including through targeted sanctions, to press Israeli authorities to cease committing grave abuses,"" it said. Link to the original story."
2,6BF0-4WJ1-JCMN-Y2R8-00000-00,27 February 2024,Al Jazeera English,"February 27th, 2024 ( Al Jazeera English  — Delivered by  Newstex ). The United States claims to have conducted fresh strikes against   targets, destroying missiles, unmanned vessels and a drone. The US military's Central Command (CENTCOM) announced the attacks late on Monday. It reported that it had struck three unmanned surface vessels and two antiship cruise missiles that were in Houthi-controlled areas of Yemen, preparing to launch towards the Red Sea. The drone, an ""unmanned aerial vehicle"", was targeted over the water. CENTCOM claimed that the attacks were launched in self-defence, 'to protect freedom of navigation and make international waters safer and more secure for US Navy and merchant vessels'. Feb. 26 Red Sea Update. On Feb. 26, between the hours of 4:45 p.m. and 11:45a p.m. (Sanaa time), U.S. Central Command (CENTCOM) forces destroyed three unmanned surface vessels (USV), two mobile anti-ship cruise missiles (ASCM), and a one-way attack unmanned aerial vehicle (UAV) pic.twitter.com/UtH2eJuMke. - U.S. Central Command (@CENTCOM) February 27, 2024. The Iran-aligned Houthis, who control the most populous parts of Yemen, have carried out dozens of attacks on vessels with commercial ties to the US, the United Kingdom and Israel in the Red Sea and Gulf of Aden since November. The group says the attacks are a response to   in Gaza. Despite US-UK retaliatory strikes, it has promised to continue its campaign in solidarity with Palestinians until Israel stops its war on Gaza. The campaign has disrupted international commerce along a route that accounts for about 15 percent of the world's shipping traffic. Several shipping companies have redirected their vessels around the southern tip of Africa, adding up to two weeks to a journey and between 3,000 and 6,000 extra nautical miles (between 5,556 and 11,112km). In January, the US   the Houthis as 'Specially Designated Global Terrorists' (SDGTs), a status attributed to those who are considered to 'threaten the security of the US'. On Saturday, the US and the UK said they had hit 18 Houthi sites across eight locations in Yemen, including attacks on underground weapons and missile storage facilities, air defence systems, radars and a helicopter. Responding to the attacks, Yahya Saree, a spokesman for the group, pledged that the Houthis would 'confront the American-British escalation with more qualitative military operations against all hostile targets in the Red and Arab Seas'. Link to the original story."
3,69VD-J241-JCMN-Y22B-00000-00,11 December 2023,Al Jazeera English,"December 11th, 2023 ( Al Jazeera English  — Delivered by  Newstex ). The European Union's top diplomat says he will propose sanctions on Jewish settlers who are   in the Israeli-occupied West Bank. The EU's foreign policy chief Josep Borrell on Monday said the bloc was ""alarmed by the violence in the West Bank by extremist settlers"" and condemned the Israeli government's decision to approve 1,700 more housing units in Jerusalem, in what Brussels considers a violation of international law. ""The time has come to move from words to actions … and to start adopting the measures we can take with regard to the acts of violence against the Palestinian population in the West Bank,"" Borrell told reporters after meeting EU foreign ministers in Brussels on their next steps regarding the  . Since October 7,   have more than doubled against Palestinians, according to the United Nations. Combined with raids by Israeli forces, at least 275 people have been killed in the occupied territory since, including at least 63 children, with a further 3,365 injured. While Borrell said ministers were not entirely enthused about the proposed measure, he will work with the EU officials to draw up a list of   who have engaged in attacks. The foreign policy chief has yet to submit a formal proposal, but he said he will suggest the settlers be sanctioned for human rights abuses. Borrell did not give details about the sanctions but EU officials have said they will include bans on travel to the EU, a challenging proposal some diplomats say, as countries such as Austria, the Czech Republic and Hungary are staunch allies of Israel. However, last week, Israel's biggest ally, the United States,   on settlers involved in violent attacks in the occupied West Bank. France last month said it was also considering such measures, while Belgium said it will ban settlers from the country. Israeli settler violence has surged in the last year after Prime Minister Benjamin Netanyahu's far-right government, which itself includes ultranationalist settlers,  . Israeli settlements in the occupied West Bank, considered illegal by much of the world, are built on territory Israel captured in the 1967 Arab-Israel war. The number of settlements in the occupied territory have increased drastically in the last decade, with Palestinians describing settler violence as part of a larger Israeli effort to force them from their land. Borrell also said he would propose a separate sanctions programme against Hamas, which saw no opposition by any EU minister. The EU already considers Hamas a terrorist organisation. Link to the original story."
4,6B60-DP51-F03R-N096-00000-00,25 January 2024,Al Jazeera English,"January 25th, 2024 ( Al Jazeera English  — Delivered by  Newstex ). On Friday, the International Court of Justice (ICJ)   its decision on emergency or provisional measures against Israel in an interim verdict after South Africa filed a case against Israel accusing it of committing genocide in Gaza. Here is what we know about the possible rulings that the ICJ could deliver, and what they might mean forIsrael, Palestine, and their respective allies. What is South Africa's case against Israel?. On December 29, South Africa filed an 84-page legal case at the ICJ accusing Israel of violating the   during its near-four-month bombardment of Gaza. Israel has dismissed the genocide allegations as ""grossly distorted"" and deemed them ""blood libel"", saying it was acting in self-defence and targeting Hamas, not Palestinian civilians. On January   and  , the ICJ conducted hearings during which South Africa presented its case and, then, Israel defended itself. [Al Jazeera]. Will the court determine whether Israel is committing genocide?. The ICJ will not deal with the core question of whether Israel is committing   on Friday. For now, it will only announce, at 1pm local time (12:00 GMT) whether it can order provisional or emergency measures in Gaza and what those measures will be, while it deliberates the case for genocide. Experts have said a ruling on the overall case, which will determine whether or not Israel is committing genocide, could take as long as three or four years. Here are the possible scenarios for what the court could announce on Friday:. Could the court throw out the case?. Israel argued in its response to South Africa's ICJ allegations that the global court does not have jurisdiction over the case. It argued that South Africa had not communicated with Israel adequately about the case before filing the application to the court, as is required by the court's own rules. The Israeli representative claimed South Africa had given it only a few days to respond to a notification that it was committing genocide. He said that Tel Aviv had been open to the idea of a dialogue, but that South Africa had first rejected a written request due to a holiday, and then had replied that there was 'no point' in having a discussion. The ICJ's rules require the petitioning nation to show that a dispute exists with the country it is accusing, and that they have tried to address it before approaching the court. If the ICJ announces Friday that it does not have jurisdiction in the case, the specific requests made by South Africa become immaterial. What emergency measures has South Africa requested?. When it filed the case, South Africa asked the ICJ to order a series of provisional measures to cease violence in Gaza until the court makes its ruling on the case – a process which experts say may take years. Some of South Africa's demands are that:. Israel suspend military operations in and against Gaza. Israel's military organisations not escalate military operations any further. Israel allow access to adequate food, water, fuel, shelter, hygiene and sanitation. Israel prevent the destruction of Palestinian life in Gaza. Israel not destroy evidence relevant to South Africa's genocide allegations against it, nor deny international organisations such as fact-finding missions access to Gaza to help preserve this evidence. What emergency measures is the ICJ likely to order?. If the court does announce provisional measures,  , an international law professor at Queen Mary University of London, told Al Jazeera that these could cover some or all of South Africa's requests – or it could order entirely different provisional measures determined by the court itself. Some commentators believe that the court may fall short of ordering a full ceasefire. It could, instead, order access to adequate humanitarian relief, Gordon said, adding that this would be a win for Israel. In such a case, Israel could easily avoid international ramifications by saying it would allow more aid in, then not actually doing much to facilitate it. Additionally, aid agencies have said previously that the arrival of adequate humanitarian aid in Gaza without a ceasefire is unrealistic, as   parts of Gaza, such as the north, due to obstacles created by Israel's siege and violence in the enclave. While it is unclear whether and what interim measures the court might order, experts have said that, under international law, it ought to order a ceasefire. 'If you look at what is happening on-ground in the Gaza Strip, then I think the court should order a ceasefire,' Gordon said. However, he added that 'the decision made by the court in my opinion is an entanglement between a legal argument and a political argument'. This is because the panel of 17 judges come from different countries and it is unclear what impact, if any, the interests of their countries could have on their legal judgements. ""'How politicised is the decision?' is a question that needs to be asked,"" he said. [Al Jazeera]. What happens if the ICJ orders no provisional measures?. Gordon said he believes the court will order some measures rather than none at all. However, the ICJ can choose not to order interim measures. This would not mean the end of the legal case, however. The overall case for genocide will still be considered. If provisional measures are not ordered, South Africa and the countries that have backed it in its complaint against Israel will have to try avenues for stopping violence other than international legal fora, since the ICJ is the highest world court and the supreme legal authority, Gordon explained. This could include taking the issue up with the UN Security Council or placing legal pressure on countries providing Israel with weapons. Alternatively, if they believe the violence is persisting and escalating, another country, or even South Africa again, can file a new, separate case with the ICJ. Could an ICJ ruling make any difference for Gaza?. The ICJ's rulings are legally binding and cannot be appealed. However, the court has no way of enforcing them and the enforcement is left to the international community. ""Whether Israel takes the measures into account or not is a different story,"" said Gordon. ""Israel cannot appeal the court's ruling, and it will have to decide whether it abides by the court's decision or not,"" he added. If it does not abide by the ruling, a member state of the UN Security Council (UNSC) can escalate this before the Council, which will then vote to require Israel to abide by the provisional measures. The US could possibly cast a veto in this vote, a move the permanent member has   to obviate accountability for its close ally Israel. However, Gordon pointed out that a resolution drafted by a Security Council member state might hold different weight compared with a decision made by the highest court in the world. If the US vetoes a Security Council resolution based on the ICJ decision 'it will expose the duplicity of the US like no other veto before'. In a scenario in which the US does not veto and the UNSC passes the resolution, it would have the power to take   against Israel. Past examples of UNSC action have included economic or trade sanctions, arms embargoes and travel bans. The UN charter also allows the Council to go a step further and intervene with force. An   happened in 1991 when a US-led military alliance was created to reverse the invasion of Kuwait by the Iraqi leader, Saddam Hussein. An ICJ ruling on the provisional measures in Gaza could possibly be actionable, therefore. However, it would be up to the international community to enforce it. Link to the original story."
5,69TG-PBS1-JCMN-Y4J0-00000-00,07 December 2023,Al Jazeera English,"December 7th, 2023 ( Al Jazeera English  — Delivered by  Newstex ). Here's how things stand on Thursday,  , 2023:. The latest developments. On Wednesday, United Nations Secretary-General Antonio Guterres   – considered among the most powerful tools at his disposal – to get members of the UN Security Council to work towards an Israel-Gaza ceasefire. Israel's security cabinet approved the entry of 'minimal' additional fuel into Gaza on Wednesday, Prime Minister Benjamin Netanyahu's office said. Earlier in the day, 69,000 litres of fuel entered Gaza from Egypt – well below the 110,000 litres that were entering each day during the week-long humanitarian pause. On Wednesday, the United States Senate blocked an   bill that involved sendingIsrael $14bn to restock its missile defence systems, according to Reuters. Jordan's military said on Wednesday that it deployed parachutes to airdrop 'urgent relief aid' of medical and therapeutic supplies to a private Jordanian field hospital in southern Gaza's Khan Younis. On Wednesday, the US and Turkey rejected the idea of Israel establishing a ""buffer zone"" in Gaza on grounds that it would reduce the enclave's size, according to Reuters. Human impact and fighting. Rafah has been hit by an intense  , with one reported dead and several others injured, medical sources told Al Jazeera on Thursday. At least 10 bodies were   by civil defence workers and other rescuers in Maghazi refugee camp in central Gaza late on Wednesday, reported Al Jazeera Arabic. Many are believed to remain trapped under the rubble. An Israeli raid on Wednesday morning   the parents and 20 other family members of an Al Jazeera correspondent in Gaza, Momin Alshrafi. Israel's foreign minister Eli Cohen said on Wednesday that he has revoked UN humanitarian coordinator Lynn Hastings' residence visa to Israel. The move came shortly after Hastings stated that ""Nowhere is safe in Gaza"", and that the enclave does not have   needed to send aid to people. State Department spokesperson Matthew Miller told reporters on Wednesday that the US is reviewing an Amnesty International report that said US-made munitions have killed civilians in air strikes in Gaza. Diplomacy. The United Kingdom's Defence Secretary Grant Shapps will visit Israel and the occupied West Bank this week to meet with their officials. He plans to discuss humanitarian aid for Gaza and preventing the  , his office announced on Thursday. Several world leaders including the European Union's foreign policy chief Josep Borrell and WHO chief Tedros Adhanom Ghebreyesus have backed the UN chief's invocation of Article 99 to call for a  . The Israel-Gaza war was one of the central themes at the United States' fourth   on Thursday. Four Republican party members vying to be the party's presidential nominee shared measures they would have taken in the war, including sending troops to rescue Americans in Gaza, or banning refugees in Gaza from entering the US. The International Criminal Court's (ICC) Prosecutor Karim Khan called for humanitarian aid to be allowed into Gaza ""immediately and at scale"" in a post on X on Wednesday. He added that ""willfully impeding relief supplies to civilians may constitute a war crime"" under the ICC Rome Statute. Japanese Prime Minister Fumio Kishida told Netanyahu during a phone call that civilian casualties in Gaza should be minimised and international law should be followed, Japan's foreign ministry said on Wednesday. Saudi Arabia has asked the US to show restraint in responding to Yemen's Houthis attacks in the Red Sea, reported Reuters on Wednesday, citing ""two sources familiar with Saudi thinking"". Link to the original story."
6,69RC-G8J1-F03R-N02H-00000-00,27 November 2023,Al Jazeera English,"November 27th, 2023 ( Al Jazeera English  — Delivered by  Newstex ). US President Joe Biden reportedly rejected the advice of staff to refrain from repeating unverified reports that Hamas had beheaded babies during its attack on Israel on October 7. Some White House advisors appealed to the president to ""cut a line about Hamas beheading babies because those reports were unverified"", according to a report by The Washington Post. An Israeli news outlet made the original claim, which was picked up by media outlets across the globe. However, no such beheadings have been verified by any Israeli or international source. Not long after Biden's speech, the White House said in a statement that it had not confirmed the veracity of the reports. The report published by the newspaper on Sunday gave accounts of divisions 'to some degree' inside the White House between Biden's senior longtime aides and an array of younger staffers over the handling of the  . According to the report, as Biden prepared his major pro-Israel October 10 address, Vice President Kamala Harris suggested that he should add a line denouncing Islamophobia to the speech, two White House officials told The Washington Post. 'Harris cited the way Islamophobia had dogged the Muslim and Arab communities for years after the September 11, 2001 terrorist attacks. Biden took the suggestion,' the report said, quoting two White House officials. 'But he rejected others, for instance dismissing the recommendation of some staffers that he cut a line about Hamas beheading babies because those reports were unverified,' the newspaper added. 'Wrestling with emotions'. According to the report, Biden at times seemed to wrestle with his own emotions on the war when he voiced scepticism on October 25 about the Gaza death toll provided by the health ministry there. The following day, Biden met with five prominent Muslim Americans, who protested what they saw as his insensitivity to the civilians who were dying. The report said, quoting two people familiar with the meeting, that Biden appeared to be affected by their account. 'I'm sorry. I'm disappointed in myself I will do better,' he reportedly told the group. Meanwhile, two Jewish administration officials told the newspaper there was ""widespread support internally for Biden's response and his efforts to address"" anti-semitism. The report comes as Biden   his hope that a   between Israel and Hamas could continue as long as Israeli captives were being released. Hamas has released a total of 58 captives, including 39 to Israel, in the last three days amid a four-day truce deal, after seven weeks of fighting in Gaza. Israel released 117 Palestinian prisoners during the same period. The truce deal was agreed last week, halting   since Hamas's October 7 attack, which, Israel says, killed 1,200 people as the group took about 240 captives back into Gaza. In response to that attack, Israel launched an air and ground offensive in the enclave, killing over 15,000 Palestinians, health authorities in Gaza say. The Israeli attacks also displaced hundreds of thousands of others. Link to the original story."
7,6B0M-N7S1-F03R-N1D0-00000-00,31 December 2023,Al Jazeera English,"December 31st, 2023 ( Al Jazeera English  — Delivered by  Newstex ). Activists have launched a global campaign asking people to turn the New Year's countdown in their countries into a countdown for a ceasefire in Gaza, which has been under devastating Israeli bombardment since October 7. 'New Year's Eve is a moment of celebration worldwide, and an opportunity to create resolutions for a brighter future. With nearly 30,000 civilians killed, including over 10,000 children, our only New Year's resolution is to call for a permanent ceasefire,' Countdown2Ceasefire, a London-based grassroots campaign, said in a statement on Thursday. 'Our aim is to morph the traditional New Year's countdown into an influential and resounding countdown for a permanent ceasefire in Gaza.'. So far the campaign has successfully been embraced by activists in over 30 countries, including Switzerland, Turkiye, Malaysia, Australia, Tanzania, Mexico and Germany, according to the organisers. While ringing in the new year, these local events calling for a ceasefire will be livestreamed across Countdown2ceasefire's social media platforms. Israeli bombings have destroyed more than 70 percent of Gaza homes [File: Ariel Schalit/AP Photo]. 'A permanent ceasefire is the first step in ending the current deplorable situation and a tangible move towards a future where traumatised communities can rebuild and recover,' Bushra Mohammad, a campaign spokeswoman, said in a statement. Israel's brutal military offensive in Gaza has killed more than 21,500 people and wounded more than 55,000 others triggering a global outrage, with protesters across the world rallying to call for a ceasefire. Many have also expressed their disappointment towards politicians and countries who vetoed or abstained from voting for a ceasefire at the United Nations. Rights organisations including Human Rights Watch, Amnesty International and Doctors Without Borders also condemned countries vetoing a ceasefire, warning that this would result in a humanitarian disaster. Israel has refused to stop the bombing that has destroyed more than 70 percent of Gaza homes and displaced more than 90 percent of the enclave's 2.3 million people. Countdown2Ceasefire pointed out how people power can make a difference. 'As we enter 2024, we look forward to it being the year that our New Year's resolution, of a permanent ceasefire in Gaza, is fulfilled.'. Link to the original story."
8,6D3H-V7F1-JCMN-Y2YT-00000-00,02 October 2024,Al Jazeera English,"October 2nd, 2024 ( Al Jazeera English  - Delivered by  Newstex ). The armed wing of the Palestinian group Hamas has claimed responsibility for a shooting attack in Jaffa, near the Israeli city of Tel Aviv, that left seven people dead and many others wounded. 'The Ezzedine Al-Qassam Brigades takes responsibility for the heroic Jaffa operation carried out by the fighters from the [occupied West Bank] city of Hebron,' the group said in a statement on Wednesday. The Ezzedine al-Qassam Brigades named the attackers as Mohammed Misk and Ahmed al-Haimoni, who managed to 'infiltrate into our occupied lands'. The  attack came moments before Iran launched a barrage of rockets at Israel late on Tuesday, sending people into bomb shelters across the country. Israeli media have identified three of the dead people as Israelis and one as Georgian. The others were Greek and Moldovan, their governments said. The identity of the seventh victim has not been released. Police in Israel said the alleged assailants 'began their killing spree when they entered the carriage of the light rail train that stopped at the station and fired at passengers'. They were armed with an assault rifle and a knife, and continued on foot until police 'neutralised' them, they said. One of the attackers was shot dead and the other was seriously wounded, police added. The Israeli security agency and the army also arrested several suspects in Hebron and Jerusalem believed to have aided the suspects. Israel and Hamas have been at  war in Gaza since October 7. At least 41,689 people have been killed and 96,625 have been injured in Israel's assault on Gaza, according to Palestinian authorities. At least 1,139 people were killed in the Hamas-led attacks, according to an Al Jazeera tally based on Israeli statistics, and around 250 others were seized as hostages. Violence in the West Bank has also surged. Israeli troops or settlers have killed at least 682 people in raids or attacks in the territory since October 7, according to the Palestinian Ministry of Health. Link to the original story."
9,69MF-1PR1-F03R-N4BK-00000-00,13 November 2023,Al Jazeera English,"November 13th, 2023 ( Al Jazeera English  — Delivered by  Newstex ). Ramallah, occupied West Bank – The Qalandia checkpoint wasn't busy. There were just a few cars trying to cross into the occupied West Bank from Jerusalem. It was November 1, and Palestinian groups had called a ""day of rage"" to protest Israel's relentless bombing of the Gaza Strip. The previous day, Israeli bombs had   in northern Gaza. The camp would take another hit on November 1 and then again a few days later. In Ramallah, rubbish containers blocked some streets. Shops, restaurants and cafes were closed while street vendors were selling bananas to protesters. A large banner in Al-Manara Square read in English and Arabic, 'We are not numbers,' alongside photos of some of the more than 4,000 Palestinian children who have been killed in the bombing. About 200 people gathered to march, most of them teenagers. Some were covering their faces, others carrying posters with graphic pictures of the children killed in Gaza. A 38-year-old-man attended the protest with his wife and young son.'We have been relying on the   for 25 to 30 years, and things are only getting tougher,' he told Al Jazeera, expressing a sentiment that many Palestinians share about the lack of a unified and effective response from the international community to stop the attacks against Gaza. Like many others attending the rally, he blamed the   for not doing enough to defend Palestinian interests during the war. He put his son on his shoulders and walked on. Another protester, a 35-year-old woman from  , said she had been unable to return to her town because of the tightening of the checkpoints. But most of all, she said, she fears the settlers who have surrounded her hometown. 'Netanyahu has given thousands of weapons to the settlers. They do what they want,' she said, referring to Israeli Prime Minister Benjamin Netanyahu. Israeli National Security Minister Itamar Ben-Gvir has personally handed out weapons to settlers in the West Bank and has said he has acquired 10,000 assault rifles to distribute. When asked about how she thinks the war might end, the woman said: 'Palestinians need the right to their land. Palestinians need to be free.'. Some of the young protesters at the rally shouted slogans threatening violence against Israel. A slim, bespectacled man in his 70s who was passing by muttered: 'They are radicalizing.' He said he disapproves of violence as a means of resistance. A day after the protest near Yasser Arafat's mausoleum in Ramallah, a 29-year-old man with bright green eyes and a defiant stare was working in a coffee shop while chatting with some patrons. Palestinian Authority officials, he said, 'just sit on their chairs and do nothing'. 'They [  ] are armed. We are not. Where is the resistance?' he asked. He pulled out his mobile phone to show videos of the body of a Palestinian teenager killed that day. On the morning of November 2, the Israeli military raided the town of Qalqilya near Ramallah, killing two Palestinians. One of them was 14-year-old Ayhem Mahmud al-Shafi. Since October 7, at least 183 Palestinians, including 44 children, have died in the West Bank in attacks by Israeli forces or settlers. More than 11,200 Palestinians have been killed in the Gaza Strip, and about 1,200 people were killed in Hamas's attacks on southern Israel on October 7. Ayham's body was carried through the streets of Ramallah by hundreds of mourners. Shopkeepers closed their businesses as the mourners passed through the streets, chanting revolutionary songs about martyrs and the liberation of Palestine. Some of the mourners urged onlookers to join the procession. On the sidewalks, a few women were crying. Others recorded the procession with their mobile phones. As the body passed through Al-Amara Square, the procession stopped for a moment: Ayhem's father, mother, uncle and a neighbour kissed him goodbye. To them, and to hundreds of mourners, Ayhem was not a number. Link to the original story."
