,Article_ID,Date,wordCount,Source
0,Batch 02 - BBC  - 2075,02 October 2024,540,BBC
1,Batch 01 - BBC  - 1926,31 October 2023,60,BBC
2,6C4V-WVM1-F03R-N43B-00000-00,30 May 2024,1502,Al Jazeera English
3,6B90-2R51-DY7V-G004-00000-00,08 February 2024,1181,CNN Wire
4,69JP-B6S1-JBG3-62MT-00000-00,05 November 2023,377,The New York Times
5,6C8N-4G41-JBG3-6002-00000-00,17 June 2024,1168,The New York Times
6,69NX-F6G1-DXY4-X05B-00000-00,20 November 2023,774,The New York Times
7,6C7M-HTV1-JCMN-Y002-00000-00,12 June 2024,1084,Al Jazeera English
8,69HF-9981-DXY4-X073-00000-00,30 October 2023,1413,The New York Times
9,69CB-HGP1-JCMN-Y004-00000-00,11 October 2023,501,Al Jazeera English
10,69P2-HJW1-DY7V-G38Y-00000-00,10 November 2023,553,CNN Wire
11,Batch 01 - BBC  - 892,10 October 2023,1117,BBC
12,69NF-X6T1-F03R-N3G4-00000-00,18 November 2023,1256,Al Jazeera English
13,69CM-GKV1-F03R-N37M-00000-00,12 October 2023,1281,Al Jazeera English
14,69P2-JSY1-JBSS-S1TT-00000-00,09 November 2023,931,CNN Wire
15,6D27-YH21-JCMN-Y4RS-00000-00,26 September 2024,1741,Al Jazeera English
16,6C30-3HK1-DY7V-G0X3-00000-00,21 May 2024,969,CNN Wire
17,69PY-6P61-F03R-N0KV-00000-00,25 November 2023,991,Al Jazeera English
18,69CY-F4K1-F03R-N0KX-00000-00,14 October 2023,840,Al Jazeera English
19,Batch 01 - BBC  - 1243,19 June 2024,972,BBC
20,6B5R-P2T1-DY7V-G04T-00000-00,24 January 2024,1468,CNN Wire
21,Batch 01 - BBC  - 434,03 December 2023,66,BBC
22,69W8-DTF1-F03R-N41B-00000-00,15 December 2023,610,Al Jazeera English
23,6BPW-R2Y1-JCMN-Y3R4-00000-00,04 April 2024,779,Al Jazeera English
24,6C83-96H1-F03R-N43V-00000-00,14 June 2024,770,Al Jazeera English
25,6C9H-MB61-JCMN-Y2HC-00000-00,21 June 2024,478,Al Jazeera English
26,69TX-9H41-JCMN-Y4W2-00000-00,09 December 2023,1177,Al Jazeera English
27,6C4M-5RY1-DXY4-X0KH-00000-00,29 May 2024,352,The New York Times
28,69GM-7TJ1-F03R-N06H-00000-00,26 October 2023,638,Al Jazeera English
29,69P2-8PC1-JBSS-S09C-00000-00,13 October 2023,991,CNN Wire
30,6C9S-WHT1-JCMN-Y003-00000-00,22 June 2024,343,Al Jazeera English
31,69J9-0RM1-F03R-N30S-00000-00,03 November 2023,751,Al Jazeera English
32,69DN-G361-JBG3-64J5-00000-00,17 October 2023,705,The New York Times
33,6CWX-R7P1-DY7V-G1KH-00000-00,06 September 2024,1225,CNN Wire
34,69RM-DC41-JBG3-60C1-00000-00,28 November 2023,682,The New York Times
35,69JD-VV11-DY7V-G11C-00000-00,04 November 2023,844,CNN Wire
36,69FV-J791-DXY4-X009-00000-00,22 October 2023,951,The New York Times
37,69DW-K231-JCMN-Y1BV-00000-00,18 October 2023,554,Al Jazeera English
38,69T7-JY31-JCMN-Y42S-00000-00,06 December 2023,1389,Al Jazeera English
39,6C4V-XJS1-JCMN-Y1VY-00000-00,30 May 2024,770,Al Jazeera English
40,69GP-T281-JCMN-Y14F-00000-00,26 October 2023,1137,Al Jazeera English
41,69J9-0YH1-F03R-N1NH-00000-00,03 November 2023,1410,Al Jazeera English
42,6D3N-8DX1-JCMN-Y0G0-00000-00,03 October 2024,1318,Al Jazeera English
43,6C1M-C8N1-F03R-N4N6-00000-00,15 May 2024,1055,Al Jazeera English
44,6C46-5X61-JCMN-Y4RS-00000-00,27 May 2024,970,Al Jazeera English
45,6B3T-R171-JCMN-Y002-00000-00,15 January 2024,1063,Al Jazeera English
46,69X8-N1G1-F03R-N02P-00000-00,20 December 2023,533,Al Jazeera English
47,69KH-5W31-JCMN-Y4G7-00000-00,09 November 2023,1572,Al Jazeera English
48,6BD4-DNJ1-F03R-N3T5-00000-00,23 February 2024,754,Al Jazeera English
49,69FY-0PF1-F03R-N002-00000-00,23 October 2023,1052,Al Jazeera English
50,Batch 01 - BBC  - 1324,24 December 2023,887,BBC
51,6CWR-HRM1-JCMN-Y42C-00000-00,05 September 2024,1065,Al Jazeera English
52,69X1-MCB1-JBSS-S02J-00000-00,19 December 2023,748,CNN Wire
53,69JM-9FJ1-JCMN-Y2V1-00000-00,05 November 2023,874,Al Jazeera English
54,Batch 01 - BBC  - 1220,28 October 2023,99,BBC
55,6CCC-7BF1-JBSS-S01X-00000-00,30 June 2024,494,CNN Wire
56,6BK8-7471-F03R-N04K-00000-00,05 March 2024,1031,Al Jazeera English
57,6BV2-SVT1-JCMN-Y001-00000-00,19 April 2024,908,Al Jazeera English
58,69WV-PS31-JCMN-Y2JV-00000-00,18 December 2023,1039,Al Jazeera English
59,6C6Y-WJP1-JCMN-Y0GF-00000-00,09 June 2024,1601,Al Jazeera English
60,6CP5-N611-JCMN-Y001-00000-00,10 August 2024,535,Al Jazeera English
61,69S7-C6P1-F03R-N1CM-00000-00,01 December 2023,408,Al Jazeera English
62,69NN-WPM1-JCMN-Y31W-00000-00,19 November 2023,1241,Al Jazeera English
63,Batch 01 - BBC  - 1573,06 July 2024,722,BBC
64,69MD-CFW1-F03R-N4SM-00000-00,13 November 2023,795,Al Jazeera English
65,6B1P-WWH1-JBG3-6145-00000-00,05 January 2024,432,The New York Times
66,6B2J-CTW1-F03R-N01J-00000-00,09 January 2024,556,Al Jazeera English
67,6CTT-KCD1-JBSS-S01C-00000-00,27 August 2024,1439,CNN Wire
68,69PY-HN91-F03R-N000-00000-00,25 November 2023,568,Al Jazeera English
69,69V5-8SW1-JBG3-6557-00000-00,10 December 2023,2462,The New York Times
70,69T4-X551-JBG3-60M1-00000-00,05 December 2023,1168,The New York Times
71,69PH-0BP1-F03R-N000-00000-00,23 November 2023,637,Al Jazeera English
72,69JF-B4C1-JCMN-Y3F9-00000-00,04 November 2023,1160,Al Jazeera English
73,69F2-89W1-F03R-N0KV-00000-00,19 October 2023,1154,Al Jazeera English
74,6B69-X061-JCMN-Y4HC-00000-00,27 January 2024,1607,Al Jazeera English
75,6BBG-FWW1-JCMN-Y413-00000-00,15 February 2024,918,Al Jazeera English
76,6BSJ-51F1-JBG3-603S-00000-00,12 April 2024,855,The New York Times
77,6CR9-9YY1-JCMN-Y2B0-00000-00,15 August 2024,1082,Al Jazeera English
78,6C6T-69G1-DXY4-X2KN-00000-00,08 June 2024,560,The New York Times
79,6D0H-V961-JCMN-Y3JJ-00000-00,18 September 2024,399,Al Jazeera English
80,69R5-R421-DXY4-X04T-00000-00,26 November 2023,453,The New York Times
81,69GP-J011-F03R-N43D-00000-00,26 October 2023,1365,Al Jazeera English
82,69P2-6FM1-DY7V-G1V0-00000-00,12 October 2023,1476,CNN Wire
83,6B0V-MBW1-F03R-N1T1-00000-00,01 January 2024,1029,Al Jazeera English
84,6BNV-NVW1-F03R-N32S-00000-00,30 March 2024,1167,Al Jazeera English
85,Batch 01 - BBC  - 1437,27 June 2024,993,BBC
86,69VT-6BF1-JBG3-63P7-00000-00,13 December 2023,1628,The New York Times
87,6BWC-XPM1-F03R-N092-00000-00,25 April 2024,2557,Al Jazeera English
88,6B4N-M1H1-JCMN-Y003-00000-00,19 January 2024,966,Al Jazeera English
89,6D1C-2NR1-JCMN-Y39W-00000-00,22 September 2024,407,Al Jazeera English
90,6B4P-XG31-F03R-N448-00000-00,19 January 2024,629,Al Jazeera English
91,6CF9-MDT1-JBG3-600K-00000-00,09 July 2024,1405,The New York Times
92,Batch 01 - BBC  - 75,21 February 2024,1656,BBC
93,6D3S-2P21-F03R-N2H0-00000-00,03 October 2024,1285,Al Jazeera English
94,6B37-T3D1-F03R-N0N3-00000-00,12 January 2024,1404,Al Jazeera English
95,69SN-T0W1-JCMN-Y071-00000-00,03 December 2023,1273,Al Jazeera English
96,6BJD-0VT1-JCMN-Y1J6-00000-00,14 March 2024,745,Al Jazeera English
97,6BWS-K4M1-DXY4-X0N6-00000-00,27 April 2024,1969,The New York Times
98,Batch 01 - BBC  - 971,11 January 2024,1595,BBC
99,6BDT-0R11-JCMN-Y1N4-00000-00,26 February 2024,663,Al Jazeera English
100,69P2-BYN1-JBSS-S11W-00000-00,18 October 2023,926,CNN Wire
101,6C4M-K9K1-JBG3-60SS-00000-00,29 May 2024,824,The New York Times
102,6B2S-6D51-F03R-N4H4-00000-00,10 January 2024,2601,Al Jazeera English
103,6BXW-D2W1-F03R-N29K-00000-00,02 May 2024,1014,Al Jazeera English
104,6B7D-X2X1-JCMN-Y0KW-00000-00,01 February 2024,1238,Al Jazeera English
105,69JV-NSJ1-JBSS-S0S9-00000-00,06 November 2023,1213,CNN Wire
106,6D1V-0D21-F03R-N17D-00000-00,24 September 2024,1421,Al Jazeera English
107,6BSR-GT01-F03R-N0MK-00000-00,12 April 2024,1295,Al Jazeera English
108,6B1P-B2N1-JBSS-S368-00000-00,05 January 2024,529,CNN Wire
109,6BXF-4G21-JCMN-Y0XT-00000-00,30 April 2024,1901,Al Jazeera English
110,69DM-6N01-DXY4-X0N8-00000-00,17 October 2023,1300,The New York Times
111,69XR-XG81-DXY4-X2WX-00000-00,22 December 2023,1136,The New York Times
112,69TX-MT41-F03R-N07R-00000-00,09 December 2023,1276,Al Jazeera English
113,69BX-KVP1-F03R-N0GG-00000-00,09 October 2023,84,Al Jazeera English
114,6BYY-6381-JBSS-S00D-00000-00,07 May 2024,911,CNN Wire
115,69N7-3HD1-DXY4-X0GB-00000-00,17 November 2023,479,The New York Times
116,69ND-RRH1-JCMN-Y3N4-00000-00,18 November 2023,1446,Al Jazeera English
117,6CSB-W351-JCMN-Y43J-00000-00,20 August 2024,1155,Al Jazeera English
118,69MT-HDS1-DXY4-X2W8-00000-00,15 November 2023,1421,The New York Times
119,69BX-X621-JCMN-Y1MX-00000-00,09 October 2023,566,Al Jazeera English
120,Batch 01 - BBC  - 861,20 February 2024,1336,BBC
121,6CK5-3NT1-JBSS-S1FD-00000-00,27 July 2024,1954,CNN Wire
122,69P3-PV21-JBSS-S017-00000-00,18 November 2023,1311,CNN Wire
123,69DN-1D21-JCMN-Y130-00000-00,17 October 2023,1047,Al Jazeera English
124,6BJW-JY51-F03R-N3NR-00000-00,16 March 2024,2238,Al Jazeera English
125,6BJC-VVX1-JBG3-650C-00000-00,14 March 2024,1226,The New York Times
126,69HJ-9X01-DXY4-X0CR-00000-00,30 October 2023,482,The New York Times
127,6CNY-VXV1-F03R-N46V-00000-00,09 August 2024,1435,Al Jazeera English
128,69FG-P8R1-JCMN-Y1M8-00000-00,21 October 2023,1250,Al Jazeera English
129,Batch 01 - BBC  - 993,27 May 2024,2669,BBC
130,69KR-2V51-F03R-N2R8-00000-00,10 November 2023,955,Al Jazeera English
131,69JG-YTH1-F03R-N3PP-00000-00,04 November 2023,1321,Al Jazeera English
132,69C9-6D31-JCMN-Y1TR-00000-00,11 October 2023,1126,Al Jazeera English
133,6B2K-4XH1-DXY4-X028-00000-00,09 January 2024,580,The New York Times
134,69X8-9MN1-JCMN-Y27V-00000-00,20 December 2023,1059,Al Jazeera English
135,6BW0-9MC1-F03R-N0YF-00000-00,23 April 2024,1175,Al Jazeera English
136,69XB-5WR1-JBSS-S0J4-00000-00,20 December 2023,673,CNN Wire
137,Batch 01 - BBC  - 1869,12 June 2024,1178,BBC
138,6B7F-78F1-JCMN-Y31Y-00000-00,01 February 2024,1362,Al Jazeera English
139,69F2-92K1-JCMN-Y2YD-00000-00,19 October 2023,301,Al Jazeera English
140,69JG-0CX1-F03R-N53P-00000-00,04 November 2023,792,Al Jazeera English
141,6B73-86R1-F03R-N0X1-00000-00,30 January 2024,1210,Al Jazeera English
142,69D7-PPV1-F03R-N004-00000-00,15 October 2023,1258,Al Jazeera English
143,6CWJ-7271-JBSS-S016-00000-00,04 September 2024,714,CNN Wire
144,6CWJ-7NN1-F03R-N2S4-00000-00,04 September 2024,572,Al Jazeera English
145,69J1-PY51-JCMN-Y389-00000-00,02 November 2023,1284,Al Jazeera English
146,6BYF-VK41-DY7V-G1DM-00000-00,05 May 2024,833,CNN Wire
147,69T3-X6N1-JCMN-Y3VN-00000-00,05 December 2023,989,Al Jazeera English
148,69J2-1SF1-F03R-N12D-00000-00,02 November 2023,904,Al Jazeera English
149,6D1K-6HS1-JCMN-Y1DH-00000-00,23 September 2024,1604,Al Jazeera English
150,69NN-WPK1-JCMN-Y4F1-00000-00,19 November 2023,955,Al Jazeera English
151,69XX-X5C1-JBG3-6289-00000-00,23 December 2023,1252,The New York Times
152,6CNB-6K41-JBSS-S00D-00000-00,06 August 2024,1388,CNN Wire
153,Batch 01 - BBC  - 1941,28 November 2023,741,BBC
154,6CMF-7W01-F03R-N1DM-00000-00,02 August 2024,1222,Al Jazeera English
