,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
0,0,ID_Past Conflicts_AJE_1,Cold Statistics_Prompt_Instance_ID_1,"at least 220 Palestinians, including women and children, have been killed",at least 220,Number about Deaths (Killed),Palestinian civilians (including women and children),Yes,Yes,Many,Palestinian,Palestine,"At least 220 Palestinians, including women and children, have been killed in an Israeli aerial bombardment on Hamas security installations.",2008,27 December 2008,AJE
1,1,ID_Past Conflicts_AJE_1,Cold Statistics_Prompt_Instance_ID_2,at least 700 people had been wounded,at least 700,Number about Injured (Wounded),Palestinian civilians,No,Yes,Many,Palestinian,Palestine,Emergency services said that at least 700 people had been wounded.,2008,27 December 2008,AJE
2,2,ID_Past Conflicts_AJE_1,Cold Statistics_Prompt_Instance_ID_3,1.5 million residents,1.5 million,Number about Victims (Population affected by shortages),Gaza residents (civilians),No,Yes,Many,Palestinian,Palestine,"Gaza is densely populated. Its 1.5 million residents area already experiencing shortages in medicine, power and basic supplies due to 18 months of an Israeli blockade.",2008,27 December 2008,AJE
3,3,ID_Past Conflicts_AJE_2,Cold Statistics_Prompt_Instance_ID_7,Hundreds,Hundreds,Number about Victims (Security forces deployed),Security forces deployed by the Palestinian Authority,No,Yes,Many,Palestinian,Palestine,Hundreds of security forces were deployed in the area by the Palestinian Authority on Wednesday to safeguard the celebrations.,2008,27 December 2008,AJE
4,4,ID_Past Conflicts_AJE_2,Cold Statistics_Prompt_Instance_ID_9,Hundreds,Hundreds,Number about Victims (Security forces deployed),Security forces deployed by the Palestinian Authority,No,Yes,Many,Palestinian,Palestine,Hundreds of security forces were deployed in the area by the Palestinian Authority on Wednesday to safeguard the celebrations.,2008,27 December 2008,AJE
5,5,ID_Past Conflicts_AJE_2,Cold Statistics_Prompt_Instance_ID_10,900,900,Number about Victims (Gazans who applied to travel),Gazans who applied for permission to travel to the West Bank,No,Yes,Many,Palestinian (Gazan),Palestine,"Although around 900 Gazans applied, only 300 were allowed to make the trip.",2008,27 December 2008,AJE
6,6,ID_Past Conflicts_AJE_2,Cold Statistics_Prompt_Instance_ID_11,300,300,Number about Victims (Gazans allowed to travel),Gazans allowed to make the trip to Bethlehem,No,Yes,Many,Palestinian (Gazan),Palestine,"Although around 900 Gazans applied, only 300 were allowed to make the trip.",2008,27 December 2008,AJE
7,7,ID_Past Conflicts_AJE_4,Cold Statistics_Prompt_Instance_ID_17,Seven prisoners injured after inhaling tear gas,Seven prisoners,Number about Injured,Palestinian prisoners,No,Yes,Many,Palestinian,Palestine,Seven prisoners injured after inhaling tear gas were treated at the jail.,2008,27 December 2008,AJE
8,8,ID_Past Conflicts_AJE_4,Cold Statistics_Prompt_Instance_ID_18,Three guards were lightly injured,Three guards,Number about Injured,Israeli guards,No,Yes,Many,Israeli,Israel,"Three guards were lightly injured by objects thrown at them, Zamir said.",2008,27 December 2008,AJE
9,9,ID_Past Conflicts_AJE_4,Cold Statistics_Prompt_Instance_ID_19,"More than 11,000 Palestinians are held in Israeli prisons","More than 11,000 Palestinians",Number about Victims (Detainees),Palestinian detainees in Israeli prisons,No,Yes,Many,Palestinian,Palestine,"More than 11,000 Palestinians are held in Israeli prisons, many of them detained for long periods without trial.",2008,27 December 2008,AJE
10,10,ID_Past Conflicts_AJE_5,Cold Statistics_Prompt_Instance_ID_23,injured,Other family members were injured,Number about Injured (Family Members),Other family members of Sabah and Hanin,No,Yes,Many,Palestinian,Palestine,Other family members were injured.,2008,27 December 2008,AJE
11,11,ID_Past Conflicts_AJE_9,Cold Statistics_Prompt_Instance_ID_34,father of four,four,Number about Children (Family Size),Ahmed Saadat's children,Yes,Yes,Many,Palestinian,Palestine,"Saadat, 54, is a father of four and a veteran of the Palestinian uprising, or intifada.",2008,27 December 2008,AJE
12,12,ID_Past Conflicts_AJE_9,Cold Statistics_Prompt_Instance_ID_35,four PFLP fighters,four,Number about Victims (Arrested/Seized),four PFLP fighters seized along with Saadat,No,Yes,Many,Palestinian,Palestine,instead pressing the charges against four PFLP fighters who were seized along with him in Jericho.,2008,27 December 2008,AJE
13,13,ID_Past Conflicts_AJE_12,Cold Statistics_Prompt_Instance_ID_42,killing,at least 220 people,Number about Deaths,people killed in Gaza Strip by Israeli attacks,No,Yes,Many,Palestinian,Palestine,"Israel hammered Hamas targets in the Gaza Strip, killing at least 220 people in one of the bloodiest days of the decades-long Middle East conflict.",2008,28 December 2008,AJE
14,14,ID_Past Conflicts_AJE_13,Cold Statistics_Prompt_Instance_ID_43,killing,at least 220 people,Number about Deaths,people killed in Gaza Strip by Israeli attacks,No,Yes,Many,Palestinian,Palestine,"Israel hammered Hamas targets in the Gaza Strip, killing at least 220 people in one of the bloodiest days of the decades-long Middle East conflict.",2008,28 December 2008,AJE
15,15,ID_Past Conflicts_AJE_14,Cold Statistics_Prompt_Instance_ID_44,killed,at least 220 people,Number about Deaths,people in Gaza affected by Israeli air raids,No,Yes,Many,Palestinian,Palestine,Israeli air raids killed at least 220 people in Gaza,2008,28 December 2008,AJE
16,16,ID_Past Conflicts_AJE_14,Cold Statistics_Prompt_Instance_ID_45,wounded,700 others,Number about Injured,people in Gaza affected by Israeli air raids,No,Yes,Many,Palestinian,Palestine,and wounded 700 others,2008,28 December 2008,AJE
