Phrases,AJE - Total,AJE - Palestine,AJE - Israel,BBC - Total,BBC - Palestine,BBC - Israel,CNN - Total,CNN - Palestine,CNN - Israel,NYT - Total,NYT - Palestine,NYT - Israel,CD_Type
"..., an organization controlled by Hamas",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Source Doubting
"..., which is controlled by Hamas",0.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,12.0,12.0,0.0,Source Doubting
Hamas Health Ministry,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas and medical officials ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas authorities,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,Source Doubting
Hamas government,1.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,Source Doubting
Hamas health officials,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas officials,4.0,4.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,10.0,10.0,0.0,Source Doubting
Hamas said,3.0,3.0,0.0,12.0,12.0,0.0,5.0,5.0,0.0,12.0,12.0,0.0,Source Doubting
Hamas security officials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas sources in Gaza ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas-controlled Gaza,0.0,0.0,0.0,2.0,2.0,0.0,20.0,20.0,0.0,12.0,12.0,0.0,Source Doubting
Hamas-controlled Gaza Strip,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas-controlled government,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,Source Doubting
Hamas-controlled health authorities,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas-led authorities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Source Doubting
Hamas-ruled Gaza,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas-ruled territory,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas-run Gaza Health Ministry,0.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,12.0,12.0,0.0,Source Doubting
Hamas-run Gaza Ministry of Health,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,Source Doubting
Hamas-run Ministry of Health,3.0,3.0,0.0,3.0,3.0,0.0,32.0,32.0,0.0,5.0,5.0,0.0,Source Doubting
Hamas-run Palestinian territory,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas-run al-Aqsa TV reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
Hamas-run health ministry,4.0,4.0,0.0,800.0,800.0,0.0,18.0,18.0,0.0,32.0,32.0,0.0,Source Doubting
Hamas-run territory,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,Source Doubting
according to Hamas' military wing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
according to a Hamas website,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Source Doubting
according to health officials in Hamas-controlled Gaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Source Doubting
according to officials in the Hamas-run territory,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Source Doubting
