ID;StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;LocationLongitude;Country;DistributionChannel;UserLanguage;consent;Q36;Q6;;;Q7;Q8;Identification_Journ;Identification_strong;Identification_weak;Neutrality_norm1;Neutrality_norm2;Neutrality_norm3;Neutrality_norm_average;Accountability_norm1;Accountability_norm2;Accountability_norm3;Accountability_norm_Average;PublicService_norm1;PublicService_norm2;PublicService_norm3;PublicService_norm_Average;Advocacy_norm1;Advocacy_norm2;Advocacy_norm3;Advocacy_norm_Average;age;gender;political orientat_1;political orientat_2;Political_orientation;education;family_ses;personal ses;Comments;completion code ;SelectedVictims;SelectedStrongCount;SelectedWeakCount;FL_neutral3_DO_Neutralcondition;Strong_condition;Weak_condition;
48;11/01/2026 22:37;11/01/2026 22:45;0;100;448;1;-122,9047;USA;anonymous;EN;1;67195ce0322d3935df36e8be;3;neutral;3neutral;1;1;90;25;25;80;90;40;70;100;100;100;100;100;70;100;90;35;40;25;33,33333333;41;1;2;2;2;7;14;5;;;2,5,12,13,19,27,39,40,43,44;2;8;neutral;0;0;neutral
78;11/01/2026 22:40;11/01/2026 22:47;0;100;459;1;-122,8293;USA;anonymous;EN;1;696045a3e464213c52ceb0bd;3;neutral;3neutral;1;1;80;50;45;80;90;100;90;100;100;100;100;100;95;90;95;70;50;50;56,66666667;37;1;3;4;3,5;2;9;3;;C1BX5VF9;8,10,12,18,24,25,30,40,44,47;2;8;neutral;0;0;neutral
295;12/01/2026 01:25;12/01/2026 01:34;0;100;576;1;-122,7052;USA;anonymous;EN;1;672adb2909ca72744f212a7d;3;neutral;3neutral;1;1;68;26;25;88;90;60;79,33333333;88;83;88;86,33333333;91;87;92;90;27;40;20;29;56;1;6;6;6;6;9;4;;C1BX5VF9;3,7,31,39,41,42,43,44,48,50;3;7;neutral;0;0;neutral
270;11/01/2026 23:41;11/01/2026 23:48;0;100;399;1;-122,6795;USA;anonymous;EN;1;68b2083b4730246dc6281533;2;weak;2weak;1;1;80;50;60;100;95;85;93,33333333;100;100;100;100;90;100;100;96,66666667;10;0;0;3,333333333;48;1;3;2;2,5;9;10;3;n/a;C1BX5VF9;2,7,16,19,25,28,36,42,47,50;3;7;;0;1;weak
141;11/01/2026 22:49;11/01/2026 22:58;0;100;505;1;-122,609;USA;anonymous;EN;1;66295cf0dbecaeeb1cddb852;1;strong;1strong;1;1;91;20;20;80;80;50;70;100;100;100;100;100;100;100;100;5;2;3;3,333333333;52;2;1;1;1;7;9;4;Thanks!;;4,15,29,31,32,34,36,38,41,49;3;7;;1;0;strong
220;11/01/2026 23:10;11/01/2026 23:20;0;100;613;1;-122,5989;USA;anonymous;EN;1;6439196ac8edf1bbd8c44d13;2;weak;2weak;1;1;100;0;100;40;70;20;43,33333333;100;100;100;100;100;75;100;91,66666667;40;25;25;30;42;2;1;2;1,5;7;10;4;;;2,6,10,15,18,19,23,40,49,50;0;10;;0;1;weak
69;11/01/2026 22:35;11/01/2026 22:47;0;100;680;1;-122,4866;USA;anonymous;EN;1;663eaf71449fd111b8647d15;3;neutral;3neutral;1;1;72;63;63;90;92;96;92,66666667;98;97;98;97,66666667;97;97;98;97,33333333;49;45;44;46;29;2;1;2;1,5;7;10;3;;;1,3,7,8,24,28,32,33,43,45;4;6;neutral;0;0;neutral
33;11/01/2026 22:33;11/01/2026 22:43;0;100;565;1;-122,4556;USA;anonymous;EN;1;65d50a645355ef7756002e2b;2;weak;2weak;1;1;97;4;97;100;100;80;93,33333333;100;78;100;92,66666667;100;96;87;94,33333333;54;21;31;35,33333333;43;2;1;2;1,5;7;10;5;;C1BX5VF9;9,11,12,13,16,21,38,41,45,47;3;7;;0;1;weak
57;11/01/2026 22:36;11/01/2026 22:45;0;100;534;1;-122,3303;USA;anonymous;EN;1;66b7ace671ee40bb9aa17ee4;1;strong;1strong;1;1;79;27;44;100;100;80;93,33333333;100;100;100;100;29;84;52;55;18;20;42;26,66666667;42;2;3;6;4,5;8;9;3;;C1BX5VF9;1,3,15,19,20,31,36,39,41,45;2;8;;1;0;strong
296;12/01/2026 02:13;12/01/2026 02:22;0;100;569;1;-122,3303;USA;anonymous;EN;1;695fe004b10e38b6414f72d1;1;strong;1strong;1;1;54;48;44;100;100;100;100;100;100;56;85,33333333;55;36;100;63,66666667;47;28;15;30;36;2;4;4;4;7;10;5;;;8,28,31,38,39,41,42,44,45,46;5;5;;1;0;strong
129;11/01/2026 22:51;11/01/2026 22:55;0;100;280;1;-122,2684;USA;anonymous;EN;1;691e40ef9fb16f352696a7e0;2;weak;2weak;1;1;70;20;81;43;39;40;40,66666667;97;86;86;89,66666667;64;69;90;74,33333333;30;63;55;49,33333333;28;1;1;1;1;7;9;4;;;7,11,31,35,38,40,41,43,45,50;3;7;;0;1;weak
277;11/01/2026 23:51;11/01/2026 23:57;0;100;321;1;-122,2684;USA;anonymous;EN;1;5dd38420a71de83809342ca3;2;weak;2weak;1;1;73;1;96;49;75;82;68,66666667;100;100;100;100;100;94;77;90,33333333;95;77;85;85,66666667;56;1;2;3;2,5;6;9;2;;C1BX5VF9;14,18,20,23,24,28,29,34,35,48;0;10;;0;1;weak
2;11/01/2026 22:34;11/01/2026 22:37;0;100;226;1;-122,2548;USA;anonymous;EN;1;6553953daddeb31f9794b59c;1;strong;1strong;1;1;69;60;62;89;80;93;87,33333333;96;85;92;91;95;96;87;92,66666667;60;58;65;61;43;2;4;5;4,5;7;10;4;;;1,5,7,10,11,18,24,29,31,40;2;8;;1;0;strong
59;11/01/2026 22:33;11/01/2026 22:45;0;100;727;1;-122,0975;USA;anonymous;EN;1;558a327cfdf99b2d75651681;2;weak;2weak;1;1;100;40;80;100;100;90;96,66666667;100;100;100;100;100;90;90;93,33333333;20;30;30;26,66666667;59;1;2;3;2,5;8;14;6;Good luck with your research!;C1BX5VF9;1,4,18,35,36,37,38,40,43,45;3;7;;0;1;weak
117;11/01/2026 22:46;11/01/2026 22:53;0;100;458;1;-121,5779;USA;anonymous;EN;1;671936053fd2824bcf9fe04b;1;strong;1strong;1;1;100;100;100;100;100;100;100;100;100;50;83,33333333;100;100;100;100;50;0;0;16,66666667;61;2;6;6;6;5;10;5;;;2,8,14,18,21,23,27,39,43,46;2;8;;1;0;strong
63;11/01/2026 22:41;11/01/2026 22:46;0;100;308;1;-121,4073;USA;anonymous;EN;1;69417bc87556092fff345887;2;weak;2weak;1;1;100;12;93;93;89;90;90,66666667;90;87;90;89;90;99;99;96;72;80;83;78,33333333;40;2;1;3;2;7;14;5;;;1,2,3,5,6,15,24,34,35,37;2;8;;0;1;weak
